MUNICIPI;LOCALS EN QUE SE CELEBRA LA VOTACIÓ;DIRECCIÓ
PRAT DE LLOBREGAT (EL);CÈNTRIC ESPAI CULTURAL;PL CATALUNYA NUM: 39,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA PEPA COLOMER;C TIBIDABO NUM: 1,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);INSTITUT BALDIRI GUILERA;C MESTRE VIGO I GARRETA NUM: 1,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA RAMON LLULL;AV POMPEU FABRA NUM: 36,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA EDUCACIÓ ESPECIAL CAN RIGOL;C RIBES DE FRESER NUM: 18,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA JAUME BALMES;C RIU EBRE NUM: 2,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);APSA (AIGÜES DEL PRAT, S.A.);PL AIGUA (DE L') NUM: 1,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA BERNAT METGE;C JAUME CASANOVAS NUM: 171,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA JACINT VERDAGUER;C FRANCESC BALCELLS NUM: 1,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);CENTRE CÍVIC JARDINS DE LA PAU;JARD PAU (LA) NUM: 1,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA JACINT VERDAGUER;C FRANCESC BALCELLS NUM: 1,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA BERNAT METGE;C JAUME CASANOVAS NUM: 171,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);CENTRE CÍVIC JARDINS DE LA PAU;JARD PAU (LA) NUM: 1,08820 PRAT DE LLOBREGAT (EL)
PRAT DE LLOBREGAT (EL);ESCOLA BRESSOL EL CABUSSET;C MUSIC BLAI CARMONA NUM: 4,08820 PRAT DE LLOBREGAT (EL)
PRATS DE REI (ELS);CASA DE CULTURA US POLIVALENT;C RAVALET NUM: 31,08281 PRATS DE REI (ELS)
PRATS DE LLUÇANÈS;AJUNTAMENT VELL (BAIXOS);PL CAN CLAUS (DE) NUM: 1 A,08513 PRATS DE LLUÇANÈS
PRATS DE LLUÇANÈS;AJUNTAMENT VELL (BAIXOS);PL CAN CLAUS (DE) NUM: 1 B,08513 PRATS DE LLUÇANÈS
PREMIÀ DE MAR;COL.LEGI LA SALLE;C ABAT OLIBA NUM: 17,08330 PREMIÀ DE MAR
PREMIÀ DE MAR;COL.LEGI SANTA TECLA;C TORRAS I BAGES NUM: 16,08330 PREMIÀ DE MAR
PREMIÀ DE MAR;ESCOLA BRESSOL MUNICIPAL;C PLAÇA NUM: 87,08330 PREMIÀ DE MAR
PREMIÀ DE MAR;COL.LEGI LA LIO;C JOAN PRIM NUM: 30,08330 PREMIÀ DE MAR
PREMIÀ DE MAR;COL.LEGI GRAN VIA;C GRAN VIA DE LLUIS COMPANYS NUM: 173,08330 PREMIÀ DE MAR
PREMIÀ DE MAR;POLIESPORTIU VORAMAR;C RIERA DE PREMIA NUM: 68,08330 PREMIÀ DE MAR
PREMIÀ DE MAR;COL.LEGI LA LIO;C JOAN PRIM NUM: 30,08330 PREMIÀ DE MAR
PREMIÀ DE MAR;COL.LEGI DOFI;C MOSSEN JACINT VERDAGUER NUM: 99,08330 PREMIÀ DE MAR
PREMIÀ DE MAR;COL.LEGI SANT CRISTOFOL;C NURIA NUM: 61,08330 PREMIÀ DE MAR
PREMIÀ DE MAR;BIBLIOTECA MUNICIPAL MARTI ROSSELLO I LLOVERAS;CTRA VILASSAR DE DALT NUM: 100,08330 PREMIÀ DE MAR
PREMIÀ DE MAR;INSTITUT PREMIA DE MAR;C RAFAEL DE CASANOVA S/N,08330 PREMIÀ DE MAR
PREMIÀ DE MAR;BIBLIOTECA MUNICIPAL MARTI ROSSELLO I LLOVERAS;CTRA VILASSAR DE DALT NUM: 100,08330 PREMIÀ DE MAR
PREMIÀ DE MAR;INSTITUT PREMIA DE MAR;C RAFAEL DE CASANOVA S/N,08330 PREMIÀ DE MAR
PUIGDÀLBER;AUDITORI MUNICIPAL;PL VILA (LA) NUM: 1,08797 PUIGDÀLBER
PUIG-REIG;ESCUELAS P. ALFRED MATA;C PAU CASALS NUM: 4,08692 PUIG-REIG
PUIG-REIG;ESCUELAS PARROQUIALES ANUNCIATA;C MOSSÈN ANSELM COLL NUM: 13,08692 PUIG-REIG
PUIG-REIG;CASA SAYOS;CTRA CARRETERA NUM: 10,CAL MARÇAL 08692 PUIG-REIG
PUIG-REIG;BIBLIOTECA AMETLLA DE MEROLA;PLAÇA TEATRE (DEL) S/N,AMETLLA DE MEROLA (LA) 08672 PUIG-REIG
PUJALT;ESCUELAS;CALLE CARRETERA S/N,08282 PUJALT
QUAR (LA);NOU LOCAL POLIVALENT;. LOCAL POLIVALENT S/N,08619 QUAR (LA)
RAJADELL;EDIFICIO DEL AYUNTAMIENTO;C MAJOR NUM: 5,08256 RAJADELL
RELLINARS;CASAL DE CULTURA L'ESCOLA;PL AJUNTAMENT S/N,08299 RELLINARS
RIPOLLET;CEIP PINETONS;AV CATALUNYA (DE) NUM: 16,08291 RIPOLLET
RIPOLLET;CEIP ANSELM CLAVE;C/ AFORES (DELS) NUM: 32,08291 RIPOLLET
RIPOLLET;CEIP ESCURSELL;CTRA ESTACIO (DE L') S/N,08291 RIPOLLET
RIPOLLET;CASAL DEL PONT VELL;C/ NTRA. SRA. DELS ANGELS NUM: 15,08291 RIPOLLET
RIPOLLET;CEIP TIANA;C/ VERGE DE MONTSERRAT NUM: 25,08291 RIPOLLET
RIPOLLET;CEIP GASSO I VIDAL;C/ ROCABRUNA NUM: 1,08291 RIPOLLET
RIPOLLET;CEIP JOSEP MARIA GINESTA;C/ PUIGMAL NUM: 59,08291 RIPOLLET
RIPOLLET;CEIP PINETONS;AV CATALUNYA (DE) NUM: 16,08291 RIPOLLET
RIPOLLET;CEIP GASSO I VIDAL;C/ ROCABRUNA NUM: 1,08291 RIPOLLET
RIPOLLET;CEIP MARTINET;C/ SANT JAUME NUM: 30,08291 RIPOLLET
RIPOLLET;CASAL D'AVIS;C/ CALVARI NUM: 90,08291 RIPOLLET
RIPOLLET;CEIP MARTINET;C/ SANT JAUME NUM: 30,08291 RIPOLLET
ROCA DEL VALLÈS (LA);CENTRE CIVIC DE SANTA AGNES DE MALANYANES;C JAUME CUYÀS (DE) NUM: 8,SANTA AGNÈS DE MALANYANES 08430 ROCA DEL VALLÈS (LA)
ROCA DEL VALLÈS (LA);IES LA ROCA;PL SANT JORDI S/N,08430 ROCA DEL VALLÈS (LA)
ROCA DEL VALLÈS (LA);CENTRO CULTURAL LA TORRETA;C SANTIAGO RAMÓN Y CAJAL (DE) S/N,TORRETA (LA) 08430 ROCA DEL VALLÈS (LA)
ROCA DEL VALLÈS (LA);IES LA ROCA;PL SANT JORDI S/N,08430 ROCA DEL VALLÈS (LA)
ROCA DEL VALLÈS (LA);CENTRE CULTURAL LA ROCA;C LOPE DE VEGA NUM: 4,08430 ROCA DEL VALLÈS (LA)
PONT DE VILOMARA I ROCAFORT (EL;CENTRE CIVIC MUNICIPAL;C SANT PERE REGALAT NUM: 18,PONT DE VILOMARA (EL) 08254 PONT DE VILOMARA I ROCAFORT (EL)
RODA DE TER;VESTÍBUL TEATRE ELISEU;C BAC DE RODA NUM: 1 B,08510 RODA DE TER
RODA DE TER;ESCOLA EMILI TEIXIDOR;AV TECLA SALA NUM: 31,08510 RODA DE TER
RODA DE TER;LLAR D'INFANTS MUNCIPAL;C BONAMIC S/N,08510 RODA DE TER
RODA DE TER;MARE DE DEU DEL SOL DEL PONT;C ESCOLES NUM: 2,08510 RODA DE TER
RUBÍ;ESCOLA RAMON LLULL;AV FLORS S/N,08191 RUBÍ
RUBÍ;CENTRE CIVIC CAN FATJO;AV CASTELLBISBAL NUM: 31,08191 RUBÍ
RUBÍ;ESCOLA RAMON LLULL;AV FLORS S/N,08191 RUBÍ
RUBÍ;ESCOLA RIVO RUBEO;C GRACIA NUM: 32,08191 RUBÍ
RUBÍ;ESCOLA BRESSOL SOL SOLET-ZONA ESCARDIVOL;C JOAQUIM BLUME NUM: 28,08191 RUBÍ
RUBÍ;ESCOLA JOAN MARAGALL;CTRA RUBI A ULLASTRELL NUM: 133,08191 RUBÍ
RUBÍ;ESCOLA BRESSOL SOL SOLET-ZONA ESCARDIVOL;C JOAQUIM BLUME NUM: 28,08191 RUBÍ
RUBÍ;ESCOLA JOAN MARAGALL;CTRA RUBI A ULLASTRELL NUM: 133,08191 RUBÍ
RUBÍ;ESCOLA TORRE DE LA LLEBRE;AV MASSANA NUM: 16,08191 RUBÍ
RUBÍ;ESCOLA MARIA MONTESSORI;C MONTURIOL NUM: 53,08191 RUBÍ
RUBÍ;SERVEI DE REHABILITACIÓ COMUNITÀRIA;C PITAGORAS NUM: 4,08191 RUBÍ
RUBÍ;ESCOLA VINT-I-CINC DE SETEMBRE;PTGE MARCONI NUM: 2,08191 RUBÍ
RUBÍ;ESCOLA CA N'ALZAMORA;C ANTONI SEDO NUM: 91,08191 RUBÍ
RUBÍ;COL.LEGI REGINA CARMELI;C SANT SEBASTIA NUM: 34,08191 RUBÍ
RUBÍ;AV CENTRE;C VAPOR NUM: 21,08191 RUBÍ
RUBÍ;EQUIPAMENT ESCOLAR-ZONA ESCARDIVOL;C TERRASSA NUM: 59,08191 RUBÍ
RUBÍ;ESCOLA MOSSEN CINTO VERDAGUER;C NUMANCIA NUM: 20,08191 RUBÍ
RUBÍ;ESCOLA SCHOLA;C SANT PERE NUM: 12,08191 RUBÍ
RUBÍ;ATENEU;C XILE NUM: 1,08191 RUBÍ
RUBÍ;ESCOLA PAU CASALS;C SANT PERE NUM: 42,08191 RUBÍ
RUBÍ;SERVEIS DE SALUT MENTAL FERRAN SALSAS ROIG;C NOU NUM: 28,08191 RUBÍ
RUBÍ;RESIDÈNCIA CASAL DE LA GENT GRAN;C LEPANT NUM: 31,08191 RUBÍ
RUBÍ;ESCOLA MOSSEN CINTO VERDAGUER;C NUMANCIA NUM: 20,08191 RUBÍ
RUBÍ;ESCOLA BRESSOL LA BRUNA;C CALDERON DE LA BARCA NUM: 4,08191 RUBÍ
RUBÍ;AV PLANA DE CAN BERTRAN;C GENERAL CASTAÑOS NUM: 2,08191 RUBÍ
RUBÍ;CENTRE CIVIC CA N'ORIOL;C SORIA NUM: 19,08191 RUBÍ
RUBÍ;ESCOLA TERESA ALTET;C MALLORCA NUM: 90,08191 RUBÍ
RUBÍ;CENTRE CIVIC EL PINAR - LA CRUÏLLA;URBAT PINAR NUM: 12,08191 RUBÍ
RUBÍ;ESCOLA SCHOLA;C SANT PERE NUM: 12,08191 RUBÍ
RUBÍ;TORRE BASSES;C SANT MUÇ NUM: 1,08191 RUBÍ
RUBÍ;CENTRE CIVIC CA N'ORIOL;C SORIA NUM: 19,08191 RUBÍ
RUBÍ;ESCOLA BRESSOL-LLUNA;C LLEIDA NUM: 1,08191 RUBÍ
RUBÍ;INSTITUT L'ESTATUT;C FLAMMARION NUM: 1,08191 RUBÍ
RUBÍ;ESCOLA MOSSEN CINTO VERDAGUER;C NUMANCIA NUM: 20,08191 RUBÍ
RUBÍ;AV PLANA DE CAN BERTRAN;C GENERAL CASTAÑOS NUM: 2,08191 RUBÍ
RUBÍ;CENTRE CIVIC CA N'ORIOL;C SORIA NUM: 19,08191 RUBÍ
RUBÍ;ESCOLA TERESA ALTET;C MALLORCA NUM: 90,08191 RUBÍ
RUBIÓ;LOCAL SOCIAL EL PLA DE RUBIO;. ESCOLES S/N,PLA DE RUBIÓ (EL) 08719 RUBIÓ
SABADELL;INSTITUT ESCOLA INDUSTRIAL;C CALDERON NUM: 56,08201 SABADELL
SABADELL;ESCOLA ENRIC CASASSAS;C LLOBET NUM: 77,08202 SABADELL
SABADELL;ESCOLA JOANOT ALISANDA;C SALLARES I PLA NUM: 160,08202 SABADELL
SABADELL;ESCOLA MARE DE DEU DE LA SALUT;C LATORRE NUM: 70,08201 SABADELL
SABADELL;ESCOLA MIQUEL MARTI I POL;C CERVANTES NUM: 87,08201 SABADELL
SABADELL;ESCOLA NOSTRA LLAR;C CALDERON NUM: 143,08201 SABADELL
SABADELL;ESCOLA CATALUNYA;C VALENTI ALMIRALL NUM: 76,08206 SABADELL
SABADELL;ESCOLA NOSTRA LLAR;C CALDERON NUM: 143,08201 SABADELL
SABADELL;INSTITUT ESCOLA INDUSTRIAL;C CALDERON NUM: 56,08201 SABADELL
SABADELL;ESCOLA MARE DE DEU DE LA SALUT;C LATORRE NUM: 70,08201 SABADELL
SABADELL;ESCOLA AMADEU VIVES;C FRA LUIS DE LEON NUM: 152,08203 SABADELL
SABADELL;CENTRE CÍVIC DE SANT OLEGUER;C SOL I PADRIS NUM: 93,08203 SABADELL
SABADELL;ESCOLA AMADEU VIVES;C FRA LUIS DE LEON NUM: 152,08203 SABADELL
SABADELL;ESCOLA JOAQUIM BLUME;RONDA BELLESGUARD NUM: 35,08203 SABADELL
SABADELL;CENTRE CÍVIC DE SANT OLEGUER;C SOL I PADRIS NUM: 93,08203 SABADELL
SABADELL;SALESIANS SABADELL;PG GAUDI NUM: 2,08203 SABADELL
SABADELL;ESC.UNIV.EMPRESARIALS-INFORMATICA;C EMPRIUS NUM: 2,08202 SABADELL
SABADELL;INSTITUT ESCOLA INDUSTRIAL;C CALDERON NUM: 56,08201 SABADELL
SABADELL;ESCOLA NOSTRA LLAR;C CALDERON NUM: 143,08201 SABADELL
SABADELL;ESCOLA CATALUNYA;C VALENTI ALMIRALL NUM: 76,08206 SABADELL
SABADELL;SALESIANS SABADELL;PG GAUDI NUM: 2,08203 SABADELL
SABADELL;ESC.UNIV.EMPRESARIALS-INFORMATICA;C EMPRIUS NUM: 2,08202 SABADELL
SABADELL;CENTRE CÍVIC DE SANT OLEGUER;C SOL I PADRIS NUM: 93,08203 SABADELL
SABADELL;CA L'ESTRUCH;C SANT ISIDRE NUM: 140,08208 SABADELL
SABADELL;ESCOLA RIBATALLADA;C CANONGE JONCAR NUM: 56,08208 SABADELL
SABADELL;SABADELL CULTURA-ANTIGA ESCOLA CREU ALTA;C RIBOT I SERRA NUM: 265,08208 SABADELL
SABADELL;ESCOLA RIBATALLADA;C CANONGE JONCAR NUM: 56,08208 SABADELL
SABADELL;SABADELL CULTURA-ANTIGA ESCOLA CREU ALTA;C RIBOT I SERRA NUM: 265,08208 SABADELL
SABADELL;LOCAL DEL BARRI DE LA CREU ALTA;C MAJOR NUM: 70,08208 SABADELL
SABADELL;ESCOLA SAMUNTADA;C FRANCESC IZARD NUM: 15,08208 SABADELL
SABADELL;CA L'ESTRUCH;C SANT ISIDRE NUM: 140,08208 SABADELL
SABADELL;ESCOLA SAMUNTADA;C FRANCESC IZARD NUM: 15,08208 SABADELL
SABADELL;ESCOLA ALCALDE MARCET;C FLORIT NUM: 32,08208 SABADELL
SABADELL;CENTRE CÍVIC DE CAN PUIGGENER;PL PRIMER DE MAIG NUM: 1,08208 SABADELL
SABADELL;ESCOLA TORREGUITART;C VALLIRANA NUM: 14,08207 SABADELL
SABADELL;CA L'ESTRUCH;C SANT ISIDRE NUM: 140,08208 SABADELL
SABADELL;ESCOLA XALOC (ANTIGA ESCOLA MIGUEL HERNANDEZ);C PUIG MAJOR NUM: 63,08207 SABADELL
SABADELL;INSTITUT ARRAONA;C PRINCEP DE VIANA NUM: 9,08207 SABADELL
SABADELL;ESCOLA MIQUEL CARRERAS;C BALAGUER NUM: 46,08207 SABADELL
SABADELL;INSTITUT ARRAONA;C PRINCEP DE VIANA NUM: 9,08207 SABADELL
SABADELL;ESCOLA GAUDI;C ORDESA NUM: 14,08207 SABADELL
SABADELL;ESCOLA MIQUEL CARRERAS;C BALAGUER NUM: 46,08207 SABADELL
SABADELL;ESCOLA CALVET D'ESTRELLA;C MONT BLANC NUM: 34,08207 SABADELL
SABADELL;INSTITUT JONQUERES;C MAGNOLIES NUM: 125,08207 SABADELL
SABADELL;ESCOLA GAUDI;C ORDESA NUM: 14,08207 SABADELL
SABADELL;ESCOLA BRESSOL MUNICIPAL CALVET D'ESTRELLA;C MONT BLANC NUM: 34,08207 SABADELL
SABADELL;ESCOLA CALVET D'ESTRELLA;C MONT BLANC NUM: 34,08207 SABADELL
SABADELL;INSTITUT JONQUERES;C MAGNOLIES NUM: 125,08207 SABADELL
SABADELL;ESCOLA SANT JULIA;C VINHAMALA NUM: 1,08207 SABADELL
SABADELL;ESCOLA XALOC (ANTIGA ESCOLA MIGUEL HERNANDEZ);C PUIG MAJOR NUM: 63,08207 SABADELL
SABADELL;CASAL GENT GRAN SABADELL-ROUREDA;C COSTABONA NUM: 25,08207 SABADELL
SABADELL;ESCOLA CAN LLONG;C PRAGA NUM: 57,08207 SABADELL
SABADELL;CASAL GENT GRAN SABADELL-ROUREDA;C COSTABONA NUM: 25,08207 SABADELL
SABADELL;ESCOLA SANT JULIA;C VINHAMALA NUM: 1,08207 SABADELL
SABADELL;CENTRE CÍVIC DE CAN DEU;C PORTAL DE LA FLORESTA NUM: 20,08207 SABADELL
SABADELL;INSTITUT ARRAONA;C PRINCEP DE VIANA NUM: 9,08207 SABADELL
SABADELL;CASAL GENT GRAN SABADELL-ROUREDA;C COSTABONA NUM: 25,08207 SABADELL
SABADELL;ESCOLA SANT JULIA;C VINHAMALA NUM: 1,08207 SABADELL
SABADELL;INSTITUT FERRAN CASABLANCAS;C MARE DE LES AIGUES NUM: 2,08206 SABADELL
SABADELL;ESCOLA FONT ROSELLA;C MUNTANER NUM: 13,08206 SABADELL
SABADELL;ESCOLA PAU CASALS;C ATLANTA NUM: 31,08206 SABADELL
SABADELL;CENTRE CÍVIC DE CAN RULL;C SANT ISIDOR NUM: 51,08206 SABADELL
SABADELL;ESCOLA CAN RULL;AV LLUIS COMPANYS NUM: 61,08206 SABADELL
SABADELL;ESCOLA D'ADULTS DE CAN RULL;C GUSTAVO ADOLFO BECQUER NUM: 24,08206 SABADELL
SABADELL;ESCOLA XALEST (ANTIGA ESCOLA CIFUENTES);C TURINA NUM: 11,08206 SABADELL
SABADELL;CENTRE CÍVIC DE CAN RULL;C SANT ISIDOR NUM: 51,08206 SABADELL
SABADELL;ESCOLA ANDREU CASTELLS;VIA ALEXANDRA NUM: 62,08206 SABADELL
SABADELL;ESCOLA MAS BOADELLA;C VIENA NUM: 7,08206 SABADELL
SABADELL;ESCOLA CAN LLONG;C PRAGA NUM: 57,08207 SABADELL
SABADELL;ESCOLA MAS BOADELLA;C VIENA NUM: 7,08206 SABADELL
SABADELL;ESCOLA ILLA (VAPOR LLONCH);C MANSO NUM: 4,08205 SABADELL
SABADELL;INSTITUT PAU VILA;C VILADOMAT NUM: 118,08205 SABADELL
SABADELL;ESCOLA TERESA CLARAMUNT;CTRA MOLINS DE REI NUM: 101,08205 SABADELL
SABADELL;INSTITUT PAU VILA;C VILADOMAT NUM: 118,08205 SABADELL
SABADELL;ASSOCIACIO DE VEINS DE CAN FEU;PL CAMBO NUM: 17,08205 SABADELL
SABADELL;ESCOLA ARRAONA;C ARGENTINA NUM: 45,08205 SABADELL
SABADELL;INSTITUT MIQUEL CRUSAFONT;C FUERTEVENTURA NUM: 51,08205 SABADELL
SABADELL;ESCOLA ARRAONA;C ARGENTINA NUM: 45,08205 SABADELL
SABADELL;INSTITUT MIQUEL CRUSAFONT;C FUERTEVENTURA NUM: 51,08205 SABADELL
SABADELL;CENTRE D'EDUCACIO ESPECIAL FRANCESC BELLAPART;C LA PALMA NUM: 18,08205 SABADELL
SABADELL;ESCOLA ILLA (VAPOR LLONCH);C MANSO NUM: 4,08205 SABADELL
SABADELL;ESCOLA TERESA CLARAMUNT;CTRA MOLINS DE REI NUM: 101,08205 SABADELL
SABADELL;CENTRE D'ADULTS CREU DE BARBERA (ESPRONCEDA);C CARDERS NUM: 14,08204 SABADELL
SABADELL;INSTITUT RIBOT I SERRA;C CONCHA ESPINA NUM: 33,08204 SABADELL
SABADELL;ESCOLA SALLARES I PLA;C CAMPOAMOR NUM: 92,08204 SABADELL
SABADELL;CENTRE D'ADULTS CREU DE BARBERA (ESPRONCEDA);C CARDERS NUM: 14,08204 SABADELL
SABADELL;CENTRE CÍVIC DE LA CREU DE BARBERÀ;PL CASTELAO NUM: 1,08204 SABADELL
SABADELL;COL.LEGI SANT FRANCESC;C PIZARRO NUM: 2,08204 SABADELL
SABADELL;BIBLIOTECA DEL SUD;PG ALMOGAVERS NUM: 49,08204 SABADELL
SABADELL;CENTRE CÍVIC DE LA CREU DE BARBERÀ;PL CASTELAO NUM: 1,08204 SABADELL
SABADELL;ESCOLA LA ROMANICA;RONDA SANTA MARIA NUM: 95,08204 SABADELL
SABADELL;CENTRE CÍVIC DE LA CREU DE BARBERÀ;PL CASTELAO NUM: 1,08204 SABADELL
SABADELL;ESCOLA SALLARES I PLA;C CAMPOAMOR NUM: 92,08204 SABADELL
SABADELL;ESCOLA JOAN MONTLLOR;C GAIA NUM: 2,TORRE-ROMEU SANT NICOLAU 08202 SABADELL
SABADELL;BIBLIOTECA DE LA SERRA;PL CRISTOBAL RAMOS NUM: 1,TORRE-ROMEU SANT NICOLAU 08202 SABADELL
SABADELL;ESCOLA JOAN MONTLLOR;C GAIA NUM: 2,TORRE-ROMEU SANT NICOLAU 08202 SABADELL
SABADELL;CENTRE CÍVIC DEL POBLENOU;C REMEI NUM: 1,POBLENOU SALUT (LA) 08202 SABADELL
SABADELL;BIBLIOTECA DE LA SERRA;PL CRISTOBAL RAMOS NUM: 1,TORRE-ROMEU SANT NICOLAU 08202 SABADELL
SAGÀS;ANTIGA ESCOLA DE SAGAS;CTRA VIC S/N,08517 SAGÀS
SANT PERE SALLAVINERA;LOCAL SOCIAL;C RAVAL S/N,08281 SANT PERE SALLAVINERA
SALDES;CENTRE CIVIC DE SALDES;. CAMP DEL CANTO S/N,08697 SALDES
SALLENT;CENTRE CULTURA JOAN PUIG I ELIAS (ANT.BIBLIOTECA);PG BIBLIOTECA S/N,08650 SALLENT
SALLENT;PAVELLO MUNICIPAL AGUSTIN RUEDA;C VERGE DEL PILAR NUM: 12,08650 SALLENT
SALLENT;JUTJAT DE PAU;C ESTACIÓ NUM: 3,08650 SALLENT
SALLENT;CAT SALLENT;C 210 S/N,BOTJOSA (LA) 08650 SALLENT
SALLENT;COL.LEGI ELS PINS DE CABRIANES;C SANT RAMON NUM: 22,CABRIANES 08650 SALLENT
SANTPEDOR;CAPELLA DE SANT ANDREU;PL GRAN NUM: 1,08251 SANTPEDOR
SANTPEDOR;BIBLIOTECA PARE IGNASI CASANOVAS;PL PAU (LA) NUM: 2,08251 SANTPEDOR
SANTPEDOR;ESCOLA RIU D'OR;C VERGES (DE LES) NUM: 15,08251 SANTPEDOR
SANTPEDOR;BIBLIOTECA PARE IGNASI CASANOVAS;PL PAU (LA) NUM: 2,08251 SANTPEDOR
SANT ISCLE DE VALLALTA;CASAL;C ESCOLES NUM: 4,08359 SANT ISCLE DE VALLALTA
SANT ADRIÀ DE BESÒS;CENTRE CULTURAL I JUVENIL POLIDOR;PL GUILLERMO VIDAÑA S/N,08930 SANT ADRIÀ DE BESÒS
SANT ADRIÀ DE BESÒS;CASAL DE LA GENT GRAN SANT ADRIÀ CENTRE;C MAJOR NUM: 8,08930 SANT ADRIÀ DE BESÒS
SANT ADRIÀ DE BESÒS;COL.LEGI POMPEU I FABRA;C ONZE DE SETEMBRE S/N,08930 SANT ADRIÀ DE BESÒS
SANT ADRIÀ DE BESÒS;CENTRE CULTURAL I JUVENIL POLIDOR;PL GUILLERMO VIDAÑA S/N,08930 SANT ADRIÀ DE BESÒS
SANT ADRIÀ DE BESÒS;IES MANUEL VÁZQUEZ MONTALBAN;AV EDUARD MARISTANY NUM: 59,08930 SANT ADRIÀ DE BESÒS
SANT ADRIÀ DE BESÒS;CASAL DE CULTURA;C MARE DE DEU DEL CARME NUM: 22,08930 SANT ADRIÀ DE BESÒS
SANT ADRIÀ DE BESÒS;CENTRE SOCIAL VIA TRAJANA;AV FERROCARRIL NUM: 13,08930 SANT ADRIÀ DE BESÒS
SANT ADRIÀ DE BESÒS;OFICINA IMMOBILIÀRIA L'EIXAMPLE BLAU;C CRISTOFOL MOURA S/N,08930 SANT ADRIÀ DE BESÒS
SANT ADRIÀ DE BESÒS;ACADEMIA TURBULA;CTRA MATARO NUM: 26,08930 SANT ADRIÀ DE BESÒS
SANT ADRIÀ DE BESÒS;COL.LEGI CASCAVELL;C ARGENTINA S/N,08930 SANT ADRIÀ DE BESÒS
SANT ADRIÀ DE BESÒS;CASAL CIVIC DE LA MINA;C PONENT NUM: 37,08930 SANT ADRIÀ DE BESÒS
SANT ADRIÀ DE BESÒS;CEIP MEDITERRANIA;C MAR S/N,08930 SANT ADRIÀ DE BESÒS
SANT AGUSTÍ DE LLUÇANÈS;1 CASA LA VILA;C ALOU NUM: 6,08586 SANT AGUSTÍ DE LLUÇANÈS
SANT ANDREU DE LA BARCA;HOTEL D'ENTITATS;PL ANSELM CLAVE NUM: 2,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LA BARCA;CASA PEDEMONTE;C CARRETERA DE BARCELONA NUM: 59,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LA BARCA;ESCOLES VELLES;C CARRETERA DE BARCELONA NUM: 1,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LA BARCA;COL.LEGI JOAN MARAGALL;C CATALUNYA NUM: 37,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LA BARCA;EQUIPAMENT CULTURAL;C PARC VALL PALAU NUM: 13,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LA BARCA;CENTRE CULTURAL AIGUESTOSES-BIBLIOTECA;AV CONSTITUCIO NUM: 24,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LA BARCA;COL.LEGI JOAN MARAGALL;C CATALUNYA NUM: 37,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LA BARCA;CENTRE CULTURAL AIGUESTOSES-ESPAI JOVE;AV CONSTITUCIO NUM: 24,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LA BARCA;HOTEL D'ENTITATS;PL ANSELM CLAVE NUM: 2,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LA BARCA;CASA PEDEMONTE;C CARRETERA DE BARCELONA NUM: 59,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LA BARCA;ESCOLES VELLES;C CARRETERA DE BARCELONA NUM: 1,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LA BARCA;CENTRE CIVIC;C PARC VALL PALAU NUM: 12,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LA BARCA;CENTRE CULTURAL AIGUESTOSES-SALA DE LES CULTURES;AV CONSTITUCIO NUM: 24,08740 SANT ANDREU DE LA BARCA
SANT ANDREU DE LLAVANERES;ANTIC COL.LEGI DE PRIMARIA;PG JAUME BRUTAU NUM: 4,08392 SANT ANDREU DE LLAVANERES
SANT ANDREU DE LLAVANERES;CEIP SERENA VALL;PG RIERA NUM: 25,08392 SANT ANDREU DE LLAVANERES
SANT ANTONI DE VILAMAJOR;CASAL SOCIOCULTURAL ESCOLES VELLES;PL VILA NUM: 6,08459 SANT ANTONI DE VILAMAJOR
